,AllInsects,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
310,0.456808741,0,0,0.456808741,0.000218554,0.457027295,0
311,0.472755181,0,0,0.472755181,0.0002469,0.47300208,0
312,0.488993104,0,0,0.488993104,0.000278134,0.489271238,0
313,0.505506544,0,0,0.505506544,0.000312458,0.505819002,0
314,0.522277647,0,0,0.522277647,0.000350077,0.522627724,0
315,0.53928662,0,0,0.53928662,0.000391204,0.539677824,0
316,0.556511684,0,0,0.556511684,0.000436054,0.556947738,0
317,0.573929037,0,0,0.573929037,0.000484845,0.574413882,0
318,0.591512822,0,0,0.591512822,0.0005378,0.592050622,0
319,0.609235111,0,0,0.609235111,0.000595143,0.609830254,0
320,0.627065893,0,0,0.627065893,0.000657102,0.627722995,0
321,0.644973082,0,0,0.644973082,0.000723905,0.645696988,0
322,0.662922534,0,0,0.662922534,0.000795782,0.663718317,0
323,0.680878073,0,0,0.680878073,0.000872964,0.681751037,0
324,0.698801541,0,0,0.698801541,0.00095568,0.699757221,0
325,0.716652856,0,0,0.716652856,0.00104416,0.717697016,0
326,0.73439009,0,0,0.73439009,0.001138635,0.735528725,0
327,0.751969563,0,0,0.751969563,0.001239332,0.753208894,0
328,0.769345951,0,0,0.769345951,0.001346477,0.770692429,0
329,0.78647242,0,0,0.78647242,0.001460297,0.787932717,0
330,0.803300762,0,0,0.803300762,0.001581014,0.804881777,0
331,0.81978157,0,0,0.81978157,0.00170885,0.821490419,0
332,0.83586441,0,0,0.83586441,0.001844021,0.837708431,0
333,0.851498025,0,0,0.851498025,0.001986746,0.85348477,0
334,0.866630548,0,0,0.866630548,0.002137236,0.868767784,0
335,0.881209736,0,0,0.881209736,0.002295704,0.88350544,0
336,0.895183216,0,0,0.895183216,0.002462357,0.897645573,0
337,0.908498746,0,0,0.908498746,0.002637401,0.911136147,0
338,0.92110449,0,0,0.92110449,0.00282104,0.92392553,0
339,0.932949306,0,0,0.932949306,0.003013475,0.935962781,0
340,0.943983038,0,0,0.943983038,0.003214905,0.947197943,0
341,0.954156822,0,0,0.954156822,0.003425528,0.957582351,0
342,0.963423397,0,0,0.963423397,0.00364554,0.967068937,0
343,0.971737415,0,0,0.971737415,0.003875135,0.97561255,0
344,0.979055756,0,0,0.979055756,0.004114506,0.983170263,0
